               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092387,             0.02995,            0.025805,           0.0019994,             0.56403,           0.0084397,           0.0017943,            0.088695,            0.020665,            0.023928,              0.0928,              0.0008,              0.0008
                   1,             0.07909,            0.031075,            0.023902,           0.0035869,                   1,             0.26143,            0.087378,            0.049496,            0.019982,            0.019793,            0.084686,            0.001686,            0.001686
                   2,            0.073448,            0.031623,            0.025565,              0.6477,             0.49413,             0.61914,             0.30968,            0.045986,            0.017472,             0.01807,            0.076557,           0.0025571,           0.0025571
                   3,            0.053308,            0.027675,            0.018687,             0.54727,             0.73656,              0.6392,             0.27426,              0.0376,            0.015302,            0.016858,            0.068413,           0.0034134,           0.0034134
                   4,             0.04817,            0.025073,            0.017491,             0.59321,             0.68426,             0.67126,             0.30443,            0.043485,            0.012221,            0.014359,            0.060255,           0.0042548,           0.0042548
                   5,            0.053333,            0.022244,            0.015033,              0.4055,             0.74466,             0.44639,             0.19468,            0.051439,            0.010109,            0.010899,            0.052081,           0.0050814,           0.0050814
                   6,            0.052222,            0.021885,            0.013742,             0.50321,             0.69341,             0.57193,             0.25094,            0.062945,           0.0087214,            0.007712,            0.043893,           0.0058931,           0.0058931
                   7,            0.059067,            0.019081,            0.011475,             0.63542,             0.79619,             0.75771,             0.39572,            0.037022,           0.0080786,             0.00483,             0.03569,             0.00669,             0.00669
                   8,            0.051058,             0.01742,           0.0088106,             0.56082,              0.7346,             0.64115,             0.31723,            0.047855,           0.0072829,           0.0044283,            0.027472,            0.007472,            0.007472
                   9,            0.048622,            0.017181,           0.0081679,             0.45509,             0.71825,             0.62958,             0.30741,            0.053125,           0.0067156,           0.0037455,            0.019239,           0.0082392,           0.0082392
                  10,            0.056009,            0.016204,           0.0061775,             0.45347,             0.76686,             0.63161,             0.23742,            0.049246,           0.0065587,           0.0027814,            0.010992,           0.0089915,           0.0089915
                  11,            0.050661,            0.016771,           0.0084811,             0.51948,              0.7903,             0.69125,             0.34636,             0.04876,           0.0064983,           0.0028778,           0.0090925,           0.0090925,           0.0090925
                  12,            0.045996,            0.016662,           0.0055601,             0.66799,             0.62218,              0.7079,             0.34078,            0.038399,            0.006626,           0.0038309,           0.0090925,           0.0090925,           0.0090925
                  13,            0.050442,            0.015483,           0.0089477,             0.50192,             0.67888,             0.56416,             0.27418,            0.042908,           0.0062337,           0.0083634,             0.00901,             0.00901,             0.00901
                  14,            0.050013,            0.015145,           0.0094852,             0.51227,             0.75171,             0.64157,             0.33498,            0.041563,            0.005992,           0.0039472,           0.0089275,           0.0089275,           0.0089275
                  15,            0.041653,             0.01511,           0.0094865,             0.60464,             0.76915,             0.67095,             0.36066,            0.037786,           0.0061334,           0.0040551,            0.008845,            0.008845,            0.008845
                  16,            0.044171,            0.016481,           0.0050318,             0.72611,             0.85895,             0.79897,             0.37661,            0.039819,           0.0058887,           0.0024498,           0.0087625,           0.0087625,           0.0087625
                  17,            0.048306,            0.015052,           0.0086796,             0.64591,              0.8689,             0.84242,             0.39944,            0.042369,           0.0055364,           0.0015443,             0.00868,             0.00868,             0.00868
                  18,            0.042484,            0.014278,           0.0041763,             0.79845,             0.83171,             0.85419,             0.43596,            0.036705,           0.0052836,           0.0012724,           0.0085975,           0.0085975,           0.0085975
                  19,             0.04787,            0.015216,           0.0077023,             0.89981,              0.8588,             0.91801,             0.63097,            0.033433,           0.0056369,           0.0020745,            0.008515,            0.008515,            0.008515
                  20,            0.040079,            0.014221,           0.0047308,             0.92719,             0.92229,             0.94212,             0.59078,            0.031773,           0.0056968,           0.0013112,           0.0084325,           0.0084325,           0.0084325
                  21,            0.041928,            0.014873,           0.0054621,             0.82412,             0.90404,             0.89614,             0.52138,            0.032231,           0.0054943,           0.0015227,             0.00835,             0.00835,             0.00835
                  22,             0.04491,            0.014795,           0.0046864,             0.89164,             0.86112,             0.90673,             0.56645,             0.03064,            0.005795,           0.0021405,           0.0082675,           0.0082675,           0.0082675
                  23,            0.036582,            0.014283,           0.0046188,             0.79466,             0.87344,             0.86657,             0.49755,            0.033451,           0.0055047,            0.005686,            0.008185,            0.008185,            0.008185
                  24,            0.039774,            0.013973,           0.0051314,             0.75665,             0.82649,             0.84215,             0.48935,            0.039708,           0.0055751,            0.024597,           0.0081025,           0.0081025,           0.0081025
                  25,            0.047429,            0.013362,           0.0043931,             0.62241,             0.84457,             0.72897,             0.38408,            0.034278,           0.0060375,            0.019943,             0.00802,             0.00802,             0.00802
                  26,            0.042214,            0.014512,           0.0063935,             0.71817,             0.92586,             0.86619,             0.52337,            0.031181,           0.0060439,            0.013991,           0.0079375,           0.0079375,           0.0079375
                  27,            0.038879,            0.015343,           0.0052736,             0.88555,             0.87376,             0.88246,             0.56897,            0.035568,           0.0056514,           0.0028085,            0.007855,            0.007855,            0.007855
                  28,            0.037959,            0.013794,             0.00491,             0.56618,             0.81329,             0.70333,              0.4162,            0.045751,           0.0058645,           0.0031879,           0.0077725,           0.0077725,           0.0077725
                  29,            0.041768,            0.013558,           0.0035634,             0.86221,             0.87082,             0.89281,             0.57449,            0.030403,           0.0055079,           0.0032837,             0.00769,             0.00769,             0.00769
                  30,            0.037764,            0.014888,            0.003709,             0.84472,             0.85875,             0.89995,               0.608,            0.032683,           0.0055675,            0.003231,           0.0076075,           0.0076075,           0.0076075
                  31,            0.035929,            0.015152,           0.0042185,              0.8228,             0.87236,             0.89683,             0.56798,            0.039742,           0.0055643,           0.0026844,            0.007525,            0.007525,            0.007525
                  32,            0.035323,            0.013984,           0.0094451,             0.84691,             0.83519,             0.90064,             0.57277,            0.033866,           0.0056334,           0.0023322,           0.0074425,           0.0074425,           0.0074425
                  33,            0.033157,            0.014854,           0.0043913,             0.90029,             0.84735,             0.88666,             0.57708,            0.027157,           0.0058521,           0.0017679,             0.00736,             0.00736,             0.00736
                  34,            0.031637,            0.013597,           0.0086907,             0.86637,             0.81232,             0.86341,             0.51323,            0.031444,           0.0060123,           0.0025767,           0.0072775,           0.0072775,           0.0072775
                  35,            0.034822,            0.012976,           0.0028705,             0.72155,             0.64174,             0.69682,             0.40171,            0.035088,           0.0060579,           0.0042753,            0.007195,            0.007195,            0.007195
                  36,            0.039429,            0.012776,           0.0030578,             0.78451,             0.60444,             0.74402,              0.4171,            0.039501,           0.0063841,           0.0069298,           0.0071125,           0.0071125,           0.0071125
                  37,             0.03354,             0.01231,           0.0073664,             0.84997,             0.77528,             0.84463,             0.55152,            0.036865,           0.0061925,           0.0073668,             0.00703,             0.00703,             0.00703
                  38,            0.036217,            0.013073,           0.0051076,             0.79749,             0.80978,             0.85039,             0.51537,            0.036673,           0.0062915,            0.012227,           0.0069475,           0.0069475,           0.0069475
                  39,            0.036912,            0.013302,           0.0035784,             0.80141,             0.76391,             0.82693,             0.52217,             0.03528,           0.0066659,           0.0087378,            0.006865,            0.006865,            0.006865
                  40,            0.039545,             0.01285,           0.0034674,             0.88172,             0.80182,             0.87048,             0.56282,            0.031267,           0.0059403,           0.0039738,           0.0067825,           0.0067825,           0.0067825
                  41,            0.031006,            0.012687,           0.0039544,             0.88447,             0.84744,             0.89237,              0.6098,            0.030296,           0.0056444,           0.0037219,              0.0067,              0.0067,              0.0067
                  42,            0.029429,            0.013905,             0.00365,              0.9005,              0.8697,             0.89654,             0.60695,            0.032825,           0.0056971,           0.0054939,           0.0066175,           0.0066175,           0.0066175
                  43,            0.024973,            0.011443,           0.0020425,              0.9098,             0.82239,             0.86366,             0.58516,             0.03181,           0.0057758,           0.0051792,            0.006535,            0.006535,            0.006535
                  44,            0.034287,            0.012737,           0.0039065,             0.87149,             0.72894,             0.82133,             0.48332,            0.033429,           0.0067268,           0.0076849,           0.0064525,           0.0064525,           0.0064525
                  45,            0.031976,            0.013637,           0.0046109,              0.7326,             0.50733,             0.61648,             0.34018,            0.041859,           0.0078226,            0.035537,             0.00637,             0.00637,             0.00637
                  46,            0.028837,            0.012758,           0.0034188,             0.65539,             0.51357,             0.66242,             0.33295,            0.037859,           0.0082411,            0.031452,           0.0062875,           0.0062875,           0.0062875
                  47,            0.026936,            0.012464,           0.0025885,             0.67709,             0.71253,             0.75717,             0.39889,            0.033219,           0.0072873,            0.012308,            0.006205,            0.006205,            0.006205
                  48,            0.025518,            0.013377,           0.0057436,             0.70096,             0.78233,             0.79339,             0.46917,            0.030784,           0.0063018,           0.0095264,           0.0061225,           0.0061225,           0.0061225
